Tag,ally_mult,self_mult,enemy_mult,self_score
spirit_damage,0,2,0.25,1.5
bullet_damage,,,,
melee_damage,,,,
bullet_resistance,,,,
spirit_resistance,,1,-2,0.5
pure,,,,
burst,0.5,,,
continuous,,0.25,,0.5
dot,0.5,1.5,0,2
debuff,,1.5,,1.75
debuff_resistance,,0.25,-2.25,
bullet_proc,,0.5,,1
bullet_evasion,,,-2.25,
bullet_resist_shred,0.25,0.15,,
spirit_resist_shred,2,2,-0.5,0.25
stun,1,1,-1,0.25
Vmobility,0,1,-1.5,1
fire_rate_slow,,,-2,
fire_rate,0,1.5,0,1
Hmobility,0,0.5,-0.5,0.5
aoe,0,0.5,-1,0.75
close_range,0.25,0.1,-0.15,0.25
mid_range,,0.75,0.25,1.15
long_range,0,0.25,-1.5,0.25
team_heal,,0.15,-0.1,
self_heal,,0.5,,0.5
anti_heal,0.5,0.5,-0.5,0.75
movement_slow,1,0.75,-2,0.25
silence,0.5,0.25,-0.5,0
disarm,0.5,0.25,-1,0
cc_resist,,0.25,-0.15,0
low_max_hp,,,0.5,0.5
high_max_hp,,,-0.5,0.5
shield,0.5,0.25,-0.75,0
scaling_early,,,-0.15,0.15
scaling_late,,,-0.15,0.25
farmer,,0.15,,0.15
aerial,,,-1.75,0
grounded,,,1,0.75
self_buff,,,,
ally_buff,0.15,,-0.15,
