Tag,ally_mult,self_mult,enemy_mult,self_score
spirit_damage,0,2.5,0.25,1.5
bullet_damage,,,,
melee_damage,,,,
bullet_resistance,,,,
spirit_resistance,,1,-2,0.5
pure,,,,
burst,0.5,,,
continuous,,0.25,,0.5
dot,0.5,1.25,0,2
debuff,,1,,1.5
debuff_resistance,,0.25,-2,
bullet_proc,,0.5,,1
bullet_evasion,,,-2,
bullet_resist_shred,0.25,,,
spirit_resist_shred,2,2,-0.5,0.25
stun,1,1,-2,0.25
Vmobility,0,1,-2,1
fire_rate_slow,,,-2,
fire_rate,0,1.5,0,1
Hmobility,0,0.5,-1,0
aoe,0,0.75,-1,1
close_range,0.25,0.1,0.15,0.25
mid_range,,0.5,0.25,1
long_range,0,0.25,-1.5,0.25
team_heal,,0.15,-0.15,
self_heal,,0.5,,0.5
anti_heal,0.5,0.5,-0.5,0.5
movement_slow,1,0.75,-2,0.25
silence,0.5,0.25,-0.5,0
disarm,0.5,0.25,-1,0
cc_resist,,0.75,-0.15,0
high_max_hp,,,-1.5,0.5
shield,0.5,0.25,-1,0
scaling_early,,,-0.15,0.15
scaling_late,,,-0.15,0.25
farmer,,,,
aerial,,,-1.75,0
grounded,,,1,1.5
self_buff,,,,
ally_buff,0.15,,-0.15,
