Tag,ally_mult,self_mult,enemy_mult,self_score
pure_damage,,,,
spirit_damage,,,,
bullet_damage,,,,
melee_damage,,,,
spirit_resistance,,1,,
bullet_resistance,,1,,
melee_resistance,,0.25,,
spirit_resist_shred,,,-0.75,
bullet_resist_shred,,,-0.75,
burst_damage,,,,
continuous_damage,,,,
dot,,,,
debuff,,,,
burst_resistance,,0.75,,
continuous_resistance,,0.75,,
debuff_resistance,,0.75,,
bullet_proc,,,,
bullet_evasion,,0.25,,
fire_rate,,,,
fire_rate_slow,,,,
aoe_cluster,,0.25,,
close_range,,0.25,,
mid_range,,,,
long_range,,,-0.25,
stun,,0.25,,
aerial,,,,
grounded,,,,
horizontal_mobility,,,,
vertical_mobility,,,,
movement_slow,,0.25,,
silence,,,,
disarm,,,,
cc_resist,,0.25,,
team_heal,,,,
self_heal,,1,,
anti_heal,,,-1.25,
high_max_hp,,1.15,,1.25
shield,,,,
scaling_early,,,,
scaling_late,,,,
farmer,,,,
self_buff,,,,
ally_buff,,,,
