Tag,ally_mult,self_mult,enemy_mult,self_score
spirit_damage,,2.5,0,1.75
bullet_damage,,,,
melee_damage,,,,
bullet_resistance,,,,
spirit_resistance,,1,-2.75,0.15
pure,,,,
burst,,,,
continuous,,0.25,,0.5
dot,0.5,1.25,0,1.75
debuff,,0.5,,1
debuff_resistance,,0.25,-1.15,
bullet_proc,,0.25,,0.5
bullet_evasion,,,-0.75,
bullet_resist_shred,0,,,0.15
spirit_resist_shred,2,2,-0.5,0.25
stun,1.5,1,-2.5,0.25
Vmobility,0,0.5,-2.15,0.75
fire_rate_slow,,,-0.5,
fire_rate,0,0.75,0,0.15
Hmobility,0,1.15,-0.75,1.72
aoe,0,1,,1.75
close_range,0.5,0.5,0.15,0.75
mid_range,,0.75,0.25,1.15
long_range,-0.15,0.25,-2.5,-1
team_heal,,,-0.15,
self_heal,,0.75,,0.75
anti_heal,0.75,0.5,-0.5,0.25
movement_slow,1.15,0.75,-2.25,0.25
silence,0.5,0.25,-1,0
disarm,0.5,0.25,-0.15,0
cc_resist,,1,-0.5,-0.15
high_max_hp,,,-1.75,0.5
shield,0.5,0.25,-1,0
scaling_early,,,-0.15,0.15
scaling_late,,,-0.15,0.25
farmer,,0.15,,0.25
aerial,,,-2.5,0
grounded,,,1.25,2
self_buff,,,,
ally_buff,0.15,,-0.15,
